               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12052,             0.13681,            0.079222,           0.0022321,           0.0078125,           0.0012659,          0.00025318,             0.12049,            0.073521,            0.081559,                 0.1,                   0,                   0
                   1,             0.11896,            0.075874,            0.078707,           0.0022321,           0.0078125,            0.001277,           0.0002554,             0.12045,            0.073542,            0.081564,            0.099098,          9.7525e-05,          9.7525e-05
                   2,             0.12216,            0.053442,            0.082426,           0.0023148,           0.0078125,           0.0013382,          0.00026764,             0.12039,            0.073602,            0.081554,             0.09819,           0.0001901,           0.0001901
                   3,             0.12267,            0.080512,            0.078967,              0.0025,           0.0078125,           0.0014334,          0.00028668,             0.12033,            0.073672,            0.081527,            0.097278,          0.00027772,          0.00027772
                   4,             0.12266,            0.076257,            0.078805,           0.0024038,           0.0078125,           0.0013772,          0.00027543,             0.12022,            0.073801,            0.081508,             0.09636,           0.0003604,           0.0003604
                   5,             0.11834,            0.050354,            0.079395,           0.0024038,           0.0078125,           0.0013772,          0.00027543,             0.12009,            0.073951,            0.081521,            0.095438,          0.00043812,          0.00043812
                   6,             0.12083,            0.096945,            0.078986,           0.0023148,           0.0078125,           0.0013382,          0.00026764,             0.11988,            0.074202,            0.081474,            0.094511,           0.0005109,           0.0005109
                   7,             0.12085,            0.067202,            0.078543,           0.0023148,           0.0078125,           0.0013678,          0.00027356,              0.1197,            0.074436,            0.081446,            0.093579,          0.00057872,          0.00057872
                   8,             0.12474,            0.044541,             0.08656,           0.0023148,           0.0078125,           0.0013524,          0.00027047,             0.11952,            0.074677,             0.08142,            0.092642,           0.0006416,           0.0006416
                   9,             0.12199,             0.10007,            0.078392,           0.0023148,           0.0078125,           0.0013678,          0.00027356,             0.11929,            0.074954,            0.081328,              0.0917,          0.00069953,          0.00069953
                  10,             0.12038,            0.078441,            0.079974,           0.0022321,           0.0078125,           0.0013021,          0.00026041,             0.11903,            0.075297,            0.081234,            0.090752,           0.0007525,           0.0007525
                  11,             0.12145,            0.096858,            0.079575,           0.0022321,           0.0078125,            0.001289,          0.00025781,             0.11879,            0.075577,            0.081165,            0.089801,          0.00080053,          0.00080053
                  12,             0.12091,            0.097606,            0.079845,           0.0023148,           0.0078125,           0.0013382,          0.00026764,             0.11858,            0.075841,            0.081088,            0.088844,           0.0008436,           0.0008436
                  13,             0.12195,             0.10745,             0.07884,           0.0023148,           0.0078125,           0.0013382,          0.00026764,             0.11839,            0.076057,            0.081034,            0.087882,          0.00088173,          0.00088173
                  14,             0.12145,             0.04607,            0.080174,           0.0022321,           0.0078125,           0.0013021,          0.00026041,             0.11815,            0.076346,            0.080998,            0.086915,           0.0009149,           0.0009149
                  15,             0.12062,             0.11065,             0.07778,           0.0021552,           0.0078125,           0.0012684,          0.00025368,              0.1179,            0.076627,              0.0809,            0.085943,          0.00094313,          0.00094313
                  16,             0.11977,            0.099779,            0.076933,           0.0020833,           0.0078125,           0.0012369,          0.00024739,             0.11761,            0.076975,            0.080801,            0.084966,           0.0009664,           0.0009664
                  17,             0.11918,             0.13407,            0.078014,           0.0020833,           0.0078125,           0.0012369,          0.00024739,             0.11761,            0.076975,            0.080801,            0.083985,          0.00098472,          0.00098472
                  18,             0.12066,             0.10345,            0.078773,           0.0021552,           0.0078125,           0.0012684,          0.00012684,             0.11731,            0.077323,            0.080661,            0.082998,           0.0009981,           0.0009981
                  19,             0.11887,            0.083078,            0.077863,           0.0021552,           0.0078125,           0.0012684,          0.00012684,             0.11731,            0.077323,            0.080661,            0.082007,           0.0010065,           0.0010065
                  20,             0.11731,            0.097237,            0.078029,           0.0021552,           0.0078125,           0.0012684,          0.00012684,               0.117,            0.077699,            0.080559,             0.08101,             0.00101,             0.00101
                  21,             0.11797,             0.10441,            0.078069,           0.0021552,           0.0078125,           0.0012684,          0.00012684,               0.117,            0.077699,            0.080559,            0.080009,           0.0010085,           0.0010085
                  22,             0.11861,             0.10072,            0.077442,           0.0020161,           0.0078125,           0.0012371,          0.00091754,             0.11672,            0.078018,            0.080438,            0.079002,           0.0010021,           0.0010021
                  23,             0.11789,             0.15245,            0.078795,           0.0023148,           0.0078125,           0.0013847,           0.0010499,             0.11672,            0.078018,            0.080438,            0.077991,          0.00099073,          0.00099073
                  24,             0.11842,             0.11608,            0.077428,           0.0019531,           0.0078125,           0.0012096,          0.00089549,             0.11643,            0.078375,            0.080299,            0.076974,           0.0009744,           0.0009744
                  25,              0.1166,              0.1195,            0.077977,           0.0019531,           0.0078125,           0.0012096,          0.00089549,             0.11643,            0.078375,            0.080299,            0.075953,          0.00095312,          0.00095312
                  26,             0.11709,            0.093106,            0.078011,           0.0020833,           0.0078125,           0.0012369,          0.00012369,             0.11614,             0.07877,            0.080192,            0.074927,           0.0009269,           0.0009269
                  27,             0.11421,            0.076902,            0.076591,           0.0020833,           0.0078125,           0.0012369,          0.00012369,             0.11614,             0.07877,            0.080192,            0.073896,          0.00089572,          0.00089572
                  28,             0.11941,             0.13733,            0.077765,           0.0020161,           0.0078125,           0.0012075,          0.00012075,              0.1159,            0.079083,            0.080126,             0.07286,           0.0008596,           0.0008596
                  29,             0.11744,            0.065691,            0.078043,           0.0020161,           0.0078125,           0.0012075,          0.00012075,              0.1159,            0.079083,            0.080126,            0.071819,          0.00081852,          0.00081852
                  30,             0.11106,            0.042131,            0.078742,                   0,                   0,                   0,                   0,             0.11564,            0.079434,            0.080129,            0.070773,           0.0007725,           0.0007725
                  31,             0.11635,             0.07568,            0.078104,                   0,                   0,                   0,                   0,             0.11564,            0.079434,            0.080129,            0.069722,          0.00072152,          0.00072152
                  32,             0.11603,            0.091008,            0.076247,          0.00054348,           0.0069444,          0.00034671,          3.4671e-05,             0.11543,              0.0797,            0.080107,            0.068666,           0.0006656,           0.0006656
                  33,             0.11352,            0.079997,            0.077388,          0.00054348,           0.0069444,          0.00034671,          3.4671e-05,             0.11543,              0.0797,            0.080107,            0.067605,          0.00060473,          0.00060473
                  34,             0.11683,            0.093519,             0.07883,                   0,                   0,                   0,                   0,             0.11528,            0.079866,            0.080071,            0.066539,           0.0005389,           0.0005389
                  35,             0.11548,            0.076121,            0.078438,                   0,                   0,                   0,                   0,             0.11528,            0.079866,            0.080071,            0.065468,          0.00046813,          0.00046813
                  36,             0.11917,            0.063523,            0.078098,                   0,                   0,                   0,                   0,             0.11514,            0.080081,            0.080045,            0.064392,           0.0003924,           0.0003924
                  37,             0.10945,            0.032138,            0.089864,                   0,                   0,                   0,                   0,             0.11514,            0.080081,            0.080045,            0.063312,          0.00031172,          0.00031172
                  38,              0.1201,             0.12242,            0.077655,                   0,                   0,                   0,                   0,             0.11501,            0.080272,            0.079994,            0.062226,           0.0002261,           0.0002261
                  39,             0.11403,            0.069858,            0.078204,                   0,                   0,                   0,                   0,             0.11501,            0.080272,            0.079994,            0.061136,          0.00013553,          0.00013553
